,Metric,Value,Method,Algorithm,mv,sigma,diff_mu_12_mu_11,diff_mu_13_mu_23,Neighbors,Repetition
10295,F1 Macro,0.30585669911528973,Listwise Deletion,Ridge,0.7815956688755974,0.044275462374220004,0.025690346534727876,0.041505031889734215,,8.0
10296,F1 Macro,1.0,"ACF, correlation-only",ACF+SVC,0.775392177607795,0.04323290328155444,0.01970462793362493,0.04053906310969878,,8.0
10297,F1 Macro,0.9919862162920223,"ACF, correlation-only",ACF+RF,0.775392177607795,0.04323290328155444,0.01970462793362493,0.04053906310969878,,8.0
10298,F1 Macro,1.0,"ACF, correlation-only",ACF+Ridge,0.775392177607795,0.04323290328155444,0.01970462793362493,0.04053906310969878,,8.0
10299,F1 Macro,1.0,"ACF, with covariable",ACF+SVC,0.775392177607795,0.04323290328155444,0.01970462793362493,0.04053906310969878,,8.0
10300,F1 Macro,1.0,"ACF, with covariable",ACF+RF,0.775392177607795,0.04323290328155444,0.01970462793362493,0.04053906310969878,,8.0
10301,F1 Macro,1.0,"ACF, with covariable",ACF+Ridge,0.775392177607795,0.04323290328155444,0.01970462793362493,0.04053906310969878,,8.0
10302,F1 Macro,0.8765627165627166,KNN,KNN,0.775392177607795,0.04323290328155444,0.01970462793362493,0.04053906310969878,6.5,8.0
10303,F1 Macro,0.9332718147968269,KNN,KNN+ROs,0.775392177607795,0.04323290328155444,0.01970462793362493,0.04053906310969878,65.2,8.0
10304,F1 Macro,0.992137437590911,DBC,DBC,0.775392177607795,0.04323290328155444,0.01970462793362493,0.04053906310969878,,8.0
10305,F1 Macro,0.3206039958834594,Listwise Deletion,SVC,0.775392177607795,0.04323290328155444,0.01970462793362493,0.04053906310969878,,8.0
10306,F1 Macro,0.31493672898584374,Listwise Deletion,RF,0.775392177607795,0.04323290328155444,0.01970462793362493,0.04053906310969878,,8.0
10307,F1 Macro,0.3172666877570389,Listwise Deletion,Ridge,0.775392177607795,0.04323290328155444,0.01970462793362493,0.04053906310969878,,8.0
10308,F1 Macro,1.0,"ACF, correlation-only",ACF+SVC,0.7689002151667904,0.04177121665527296,0.020853095447603498,0.0416025099093455,,8.0
10309,F1 Macro,0.9919862162920223,"ACF, correlation-only",ACF+RF,0.7689002151667904,0.04177121665527296,0.020853095447603498,0.0416025099093455,,8.0
10310,F1 Macro,0.9838109114456856,"ACF, correlation-only",ACF+Ridge,0.7689002151667904,0.04177121665527296,0.020853095447603498,0.0416025099093455,,8.0
10311,F1 Macro,0.992137437590911,"ACF, with covariable",ACF+SVC,0.7689002151667904,0.04177121665527296,0.020853095447603498,0.0416025099093455,,8.0
10312,F1 Macro,0.9919862162920223,"ACF, with covariable",ACF+RF,0.7689002151667904,0.04177121665527296,0.020853095447603498,0.0416025099093455,,8.0
10313,F1 Macro,1.0,"ACF, with covariable",ACF+Ridge,0.7689002151667904,0.04177121665527296,0.020853095447603498,0.0416025099093455,,8.0
10314,F1 Macro,0.8294230420350185,KNN,KNN,0.7689002151667904,0.04177121665527296,0.020853095447603498,0.0416025099093455,5.7,8.0
10315,F1 Macro,0.9540441176470589,KNN,KNN+ROs,0.7689002151667904,0.04177121665527296,0.020853095447603498,0.0416025099093455,64.1,8.0
10316,F1 Macro,0.992137437590911,DBC,DBC,0.7689002151667904,0.04177121665527296,0.020853095447603498,0.0416025099093455,,8.0
