,Class,Left-Out Correlation,Precision,Recall,F1 Score
265,ductal,beta,-0.010942568636842065,-0.025367548783747695,-0.01864662393691574
266,ductal,beta,0.025582739160695644,0.02114407912322913,0.022901043681743283
267,ductal,beta,-0.050658666492474747,0.03277198609997323,-0.006733369549699275
268,ductal,beta,0.02233730305521897,-0.002111734830259282,0.009650190150999327
269,ductal,beta,-0.023639708439033957,-0.03806468858593959,-0.03134376373910763
270,ductal,delta,0.006628490794682529,-0.048623362737236,-0.021025059454886197
271,ductal,delta,0.006357488084655416,0.03277198609997323,0.019559356129529415
272,ductal,delta,-0.050658666492474747,0.03277198609997323,-0.006733369549699275
273,ductal,delta,-0.016828299328774277,0.02114407912322913,0.0024507162663985893
274,ductal,delta,-0.03419838259033037,-0.03806468858593959,-0.03659258441547464
275,ductal,ductal,0.10418648835268007,0.044399893076717434,0.07444232626673686
276,ductal,ductal,-0.006004690331649298,0.11416733493718256,0.05909215037930493
277,ductal,ductal,0.1012737384519784,0.11416733493718256,0.10747144404161746
278,ductal,ductal,-0.010330573532802867,0.07928361400695005,0.037196040432880495
279,ductal,ductal,0.051072935239126926,0.06538358727612936,0.057988762979989006
280,ductal,endothelial,-0.012145455565470753,-0.03699545576049179,-0.025031890773856258
281,ductal,endothelial,0.0629776971438889,0.06765570703020585,0.06493750739003368
282,ductal,endothelial,-0.0016696807946282588,0.05602780005346164,0.028217364787538113
283,ductal,endothelial,-0.051491167324975606,0.02114407912322913,-0.013541689166637783
284,ductal,endothelial,-0.042422999720222676,-0.0035819299652499748,-0.022706070751281948
285,ductal,gamma,-0.0019573677911760567,-0.03699545576049179,-0.01984951086554443
286,ductal,gamma,0.004888196283303725,0.02114407912322913,0.012796887828599668
287,ductal,gamma,-0.06226039809420636,0.044399893076717434,-0.005285364367364931
288,ductal,gamma,0.010843050181655656,-0.013739641807003489,-0.0019105034906192753
289,ductal,gamma,-0.0144701359219217,-0.04955894145950279,-0.03238869581852244
290,ductal,quiescent_stellate,-0.045005496133422085,-0.048623362737236,-0.04727439491474783
291,ductal,quiescent_stellate,0.006357488084655416,0.03277198609997323,0.019559356129529415
292,ductal,quiescent_stellate,-0.06364567947948774,0.02114407912322913,-0.019003308200006064
293,ductal,quiescent_stellate,-0.03226039809420633,-0.025367548783747695,-0.02918013966878985
294,ductal,quiescent_stellate,-0.03226039809420633,-0.015076182838813179,-0.023882582049250756
300,endothelial,acinar,-0.021100858206121398,0.1138095238095238,0.037559562265587765
301,endothelial,acinar,0.30596681096681094,0.23285714285714287,0.27089289559892127
302,endothelial,acinar,0.04242001293725428,-0.16714285714285715,-0.04713431528543255
303,endothelial,acinar,-0.03689033189033186,0.03285714285714292,-0.012440437734412058
304,endothelial,acinar,0.013109668109668071,0.08285714285714285,0.037559562265587876
305,endothelial,activated_stellate,-0.059112554112554117,0.1138095238095238,0.02089289559892127
306,endothelial,activated_stellate,0.1631096681096681,0.1328571428571429,0.14210501681104248
307,endothelial,activated_stellate,0.06310966810966812,-0.017142857142857126,0.02089289559892138
308,endothelial,activated_stellate,-0.021100858206121398,0.08285714285714285,0.020892895598921157
309,endothelial,activated_stellate,-0.2035569985569986,0.08285714285714285,-0.055297580591554985
310,endothelial,alpha,0.044062049062049025,0.1138095238095238,0.06851194321796883
311,endothelial,alpha,0.24003274503274502,0.18285714285714283,0.20929869270037055
312,endothelial,alpha,0.14882395382395386,-0.16714285714285715,0.03301410772013336
313,endothelial,alpha,0.013109668109668071,0.08285714285714285,0.037559562265587876
314,endothelial,alpha,-0.03689033189033186,0.03285714285714292,-0.012440437734412058
315,endothelial,beta,0.09789227680532031,0.1138095238095238,0.09665047135649696
316,endothelial,beta,0.24003274503274502,0.18285714285714283,0.20929869270037055
317,endothelial,beta,0.08246450681934547,-0.16714285714285715,-0.018322790675588507
318,endothelial,beta,-0.07373243715348976,0.03285714285714292,-0.030389155683130054
319,endothelial,beta,-0.2118903318903319,0.03285714285714292,-0.09021821551218978
320,endothelial,delta,-0.05117604617604621,0.018571428571428572,-0.026726152020126404
321,endothelial,delta,0.1631096681096681,0.08285714285714285,0.12234217096124
322,endothelial,delta,-0.04522366522366528,-0.1171428571428571,-0.08516771046168481
323,endothelial,delta,-0.05117604617604621,-0.017142857142857126,-0.044147754807582706
324,endothelial,delta,-0.16041974365503775,0.03285714285714292,-0.06919719449116879
325,endothelial,ductal,0.11765512265512268,0.16142857142857148,0.1294200273818671
326,endothelial,ductal,0.23453823953823955,0.1328571428571429,0.1875595622655879
327,endothelial,ductal,0.11138553017863362,-0.06714285714285717,0.03449833777579203
328,endothelial,ductal,0.1445911495911496,0.03285714285714292,0.09181488141452399
329,endothelial,ductal,-0.029198024198024197,0.28285714285714286,0.14210501681104237
330,endothelial,endothelial,0.21866522366522367,0.16142857142857148,0.1875595622655879
331,endothelial,endothelial,0.3903823953823954,0.4328571428571429,0.40184527655130226
332,endothelial,endothelial,0.1445911495911496,0.03285714285714292,0.09181488141452399
333,endothelial,endothelial,0.24003274503274502,0.18285714285714283,0.20929869270037055
334,endothelial,endothelial,0.18162818662818664,0.08285714285714285,0.13436807290388586
335,endothelial,gamma,-0.0035569985569985363,-0.02904761904761899,-0.02355154884552324
336,endothelial,gamma,0.22977633477633475,0.08285714285714285,0.167559562265588
337,endothelial,gamma,-0.0868903318903319,-0.16714285714285715,-0.13062225591623033
338,endothelial,gamma,-0.018708513708513674,-0.017142857142857126,-0.026726152020126404
339,endothelial,gamma,-0.0868903318903319,0.1328571428571429,0.02089289559892138
340,endothelial,quiescent_stellate,-0.12636401610085823,0.018571428571428572,-0.06244043773441221
341,endothelial,quiescent_stellate,0.23453823953823955,0.1328571428571429,0.1875595622655879
342,endothelial,quiescent_stellate,0.02025252525252519,-0.16714285714285715,-0.0624404377344121
343,endothelial,quiescent_stellate,-0.059112554112554117,0.08285714285714285,0.003349035949798407
344,endothelial,quiescent_stellate,-0.059112554112554117,0.08285714285714285,0.003349035949798407
350,gamma,acinar,-0.06042342478269269,-0.10285714285714298,-0.08173763097928921
351,gamma,acinar,0.1293913900321222,0.006666666666666599,0.07807324372520252
352,gamma,acinar,0.007909908550640665,-0.09333333333333349,-0.0372931865348447
353,gamma,acinar,-0.05209009144935928,0.006666666666666599,-0.02618207542373352
354,gamma,acinar,0.10245536309609526,0.13523809523809516,0.11567838969254562
355,gamma,activated_stellate,-0.07936281872208661,-0.05523809523809531,-0.07036812193536146
356,gamma,activated_stellate,0.011546272187004325,0.006666666666666599,0.007151257909599806
357,gamma,activated_stellate,0.03252529316602526,-0.09333333333333349,-0.021834249336777023
358,gamma,activated_stellate,-0.22709009144935932,0.006666666666666599,-0.10395985320151124
359,gamma,activated_stellate,0.05700081764154974,0.08761904761904749,0.06916676178556869
360,gamma,alpha,0.34558432715529186,0.08761904761904749,0.26756792457626644
361,gamma,alpha,0.33838609902683114,0.05666666666666653,0.254463085866589
362,gamma,alpha,0.37290990855064066,0.1566666666666665,0.30715125790959974
363,gamma,alpha,0.22855506984096324,0.05666666666666653,0.16401400300763902
364,gamma,alpha,0.3847520138137986,0.2304761904761904,0.3348348737288088
365,gamma,beta,0.19076705140778355,-0.05523809523809531,0.10238935314769504
366,gamma,beta,0.08790990855064063,0.006666666666666599,0.051595702354044204
367,gamma,beta,0.04076705140778358,-0.14333333333333342,-0.03451540875706682
368,gamma,beta,0.0709868316275638,-0.043333333333333446,0.021644011532788165
369,gamma,beta,0.23411680510236482,0.13523809523809516,0.1938179245762664
370,gamma,delta,-0.04774226536240278,-0.05523809523809531,-0.053454802696460746
371,gamma,delta,-0.03390827326754109,-0.043333333333333446,-0.040467789709447866
372,gamma,delta,0.12790990855064066,0.05666666666666653,0.0960401467984886
373,gamma,delta,-0.05797244439053584,0.10666666666666658,0.025169275927617862
374,gamma,delta,0.21457657521730733,0.08761904761904749,0.16401400300763902
375,gamma,ductal,-0.11399485335412118,-0.05523809523809531,-0.08808683732849543
376,gamma,ductal,0.06457657521730731,0.006666666666666599,0.03745428821262997
377,gamma,ductal,-0.10209009144935932,-0.19333333333333347,-0.1443638936055518
378,gamma,ductal,-0.004264004492837592,-0.043333333333333446,-0.023856494028384745
379,gamma,ductal,0.13066852924029582,-0.007619047619047747,0.07381792457626635
380,gamma,endothelial,0.011546272187004325,0.039999999999999925,0.022655133878592082
381,gamma,endothelial,0.13066852924029582,-0.043333333333333446,0.06157302661708264
382,gamma,endothelial,0.007909908550640665,-0.09333333333333349,-0.0372931865348447
383,gamma,endothelial,-0.28542342478269267,0.006666666666666599,-0.1261820754237336
384,gamma,endothelial,0.12790990855064066,0.08761904761904749,0.10860053327191865
