,Metric,Value,Method,Algorithm,mv,sigma,diff_mu_12_mu_11,diff_mu_13_mu_23,Neighbors,a_size,b_size,c_size,Repetition
940,F1 Macro,0.9819587398335027,"ACF, with covariable",ACF+RF,0.81,0.05085408661888165,0.01888197941397965,0.04210744144876384,,16.0,84.0,50.0,3.0
941,F1 Macro,0.9596692881629361,"ACF, with covariable",ACF+Ridge,0.81,0.05085408661888165,0.01888197941397965,0.04210744144876384,,16.0,84.0,50.0,3.0
942,F1 Macro,0.7209969740404524,KNN,KNN,0.81,0.05085408661888165,0.01888197941397965,0.04210744144876384,2.7,16.0,84.0,50.0,3.0
943,F1 Macro,0.8776825759499026,KNN,KNN+ROs,0.81,0.05085408661888165,0.01888197941397965,0.04210744144876384,75.9,16.0,84.0,50.0,3.0
944,F1 Macro,0.9166666666666666,DBC,DBC,0.81,0.05085408661888165,0.01888197941397965,0.04210744144876384,,16.0,84.0,50.0,3.0
945,F1 Macro,0.3148962148962149,Listwise Deletion,SVC,0.81,0.05114676703874761,0.024716268779549744,0.03480982653876431,,20.0,80.0,50.0,3.0
946,F1 Macro,0.31295741905584146,Listwise Deletion,RF,0.81,0.05114676703874761,0.024716268779549744,0.03480982653876431,,20.0,80.0,50.0,3.0
947,F1 Macro,0.4059434929000147,Listwise Deletion,Ridge,0.81,0.05114676703874761,0.024716268779549744,0.03480982653876431,,20.0,80.0,50.0,3.0
948,F1 Macro,0.922622008511579,"ACF, correlation-only",ACF+SVC,0.81,0.05114676703874761,0.024716268779549744,0.03480982653876431,,20.0,80.0,50.0,3.0
949,F1 Macro,0.9340108197251054,"ACF, correlation-only",ACF+RF,0.81,0.05114676703874761,0.024716268779549744,0.03480982653876431,,20.0,80.0,50.0,3.0
950,F1 Macro,0.9296864892602704,"ACF, correlation-only",ACF+Ridge,0.81,0.05114676703874761,0.024716268779549744,0.03480982653876431,,20.0,80.0,50.0,3.0
951,F1 Macro,0.9897734826404868,"ACF, with covariable",ACF+SVC,0.81,0.05114676703874761,0.024716268779549744,0.03480982653876431,,20.0,80.0,50.0,3.0
952,F1 Macro,0.9566818280268573,"ACF, with covariable",ACF+RF,0.81,0.05114676703874761,0.024716268779549744,0.03480982653876431,,20.0,80.0,50.0,3.0
953,F1 Macro,0.9681477942347508,"ACF, with covariable",ACF+Ridge,0.81,0.05114676703874761,0.024716268779549744,0.03480982653876431,,20.0,80.0,50.0,3.0
954,F1 Macro,0.743531375058732,KNN,KNN,0.81,0.05114676703874761,0.024716268779549744,0.03480982653876431,7.2,20.0,80.0,50.0,3.0
955,F1 Macro,0.8577777777777778,KNN,KNN+ROs,0.81,0.05114676703874761,0.024716268779549744,0.03480982653876431,56.8,20.0,80.0,50.0,3.0
956,F1 Macro,0.9058912102390363,DBC,DBC,0.81,0.05114676703874761,0.024716268779549744,0.03480982653876431,,20.0,80.0,50.0,3.0
957,F1 Macro,0.3375662310137761,Listwise Deletion,SVC,0.81,0.05060506099391663,0.023092288536021577,0.04217760719959683,,23.0,77.0,50.0,3.0
958,F1 Macro,0.31346828609986505,Listwise Deletion,RF,0.81,0.05060506099391663,0.023092288536021577,0.04217760719959683,,23.0,77.0,50.0,3.0
959,F1 Macro,0.27697783600829784,Listwise Deletion,Ridge,0.81,0.05060506099391663,0.023092288536021577,0.04217760719959683,,23.0,77.0,50.0,3.0
960,F1 Macro,0.971326164874552,"ACF, correlation-only",ACF+SVC,0.81,0.05060506099391663,0.023092288536021577,0.04217760719959683,,23.0,77.0,50.0,3.0
961,F1 Macro,0.985211793722432,"ACF, correlation-only",ACF+RF,0.81,0.05060506099391663,0.023092288536021577,0.04217760719959683,,23.0,77.0,50.0,3.0
962,F1 Macro,0.9611499611499611,"ACF, correlation-only",ACF+Ridge,0.81,0.05060506099391663,0.023092288536021577,0.04217760719959683,,23.0,77.0,50.0,3.0
963,F1 Macro,1.0,"ACF, with covariable",ACF+SVC,0.81,0.05060506099391663,0.023092288536021577,0.04217760719959683,,23.0,77.0,50.0,3.0
964,F1 Macro,1.0,"ACF, with covariable",ACF+RF,0.81,0.05060506099391663,0.023092288536021577,0.04217760719959683,,23.0,77.0,50.0,3.0
965,F1 Macro,0.985211793722432,"ACF, with covariable",ACF+Ridge,0.81,0.05060506099391663,0.023092288536021577,0.04217760719959683,,23.0,77.0,50.0,3.0
966,F1 Macro,0.74121645912998,KNN,KNN,0.81,0.05060506099391663,0.023092288536021577,0.04217760719959683,7.4,23.0,77.0,50.0,3.0
967,F1 Macro,0.8985286656519532,KNN,KNN+ROs,0.81,0.05060506099391663,0.023092288536021577,0.04217760719959683,70.7,23.0,77.0,50.0,3.0
968,F1 Macro,0.9729693201784024,DBC,DBC,0.81,0.05060506099391663,0.023092288536021577,0.04217760719959683,,23.0,77.0,50.0,3.0
969,F1 Macro,0.26543978598773116,Listwise Deletion,SVC,0.81,0.05076616801436949,0.012855185051559331,0.03582083530356504,,26.0,74.0,50.0,3.0
970,F1 Macro,0.287357279310498,Listwise Deletion,RF,0.81,0.05076616801436949,0.012855185051559331,0.03582083530356504,,26.0,74.0,50.0,3.0
