,Metric,Value,Method,Algorithm,mv,sigma,diff_mu_12_mu_11,diff_mu_13_mu_23,Neighbors,size
783,F1 Macro,0.7934956396865752,KNN,KNN,0.81,0.05115607026861412,0.020159594108347417,0.04011380809248255,6.3,234.0
784,F1 Macro,0.9389282899921199,KNN,KNN+ROs,0.81,0.05115607026861412,0.020159594108347417,0.04011380809248255,126.5,234.0
785,F1 Macro,0.9846390168970814,DBC,DBC,0.81,0.05115607026861412,0.020159594108347417,0.04011380809248255,126.5,234.0
786,F1 Macro,0.9952145569166846,ACF,ACF+SVC,0.81,0.05151146568381425,0.023350331285945214,0.03603113234341006,,252.0
787,F1 Macro,0.9952145569166846,ACF,ACF+RF,0.81,0.05151146568381425,0.023350331285945214,0.03603113234341006,,252.0
788,F1 Macro,0.9805088702147525,ACF,ACF+Ridge,0.81,0.05151146568381425,0.023350331285945214,0.03603113234341006,,252.0
789,F1 Macro,0.8249991749991749,KNN,KNN,0.81,0.05151146568381425,0.023350331285945214,0.03603113234341006,8.4,252.0
790,F1 Macro,0.9506471633419054,KNN,KNN+ROs,0.81,0.05151146568381425,0.023350331285945214,0.03603113234341006,88.2,252.0
791,F1 Macro,0.9904843304843305,DBC,DBC,0.81,0.05151146568381425,0.023350331285945214,0.03603113234341006,88.2,252.0
792,F1 Macro,1.0,ACF,ACF+SVC,0.81,0.05155958724555987,0.019667981194476936,0.04404585446912121,,271.0
793,F1 Macro,0.9956138747761248,ACF,ACF+RF,0.81,0.05155958724555987,0.019667981194476936,0.04404585446912121,,271.0
794,F1 Macro,0.9910860199078888,ACF,ACF+Ridge,0.81,0.05155958724555987,0.019667981194476936,0.04404585446912121,,271.0
795,F1 Macro,0.8526057203018073,KNN,KNN,0.81,0.05155958724555987,0.019667981194476936,0.04404585446912121,14.6,271.0
796,F1 Macro,0.9701863354037267,KNN,KNN+ROs,0.81,0.05155958724555987,0.019667981194476936,0.04404585446912121,120.5,271.0
797,F1 Macro,0.9956138747761248,DBC,DBC,0.81,0.05155958724555987,0.019667981194476936,0.04404585446912121,120.5,271.0
798,F1 Macro,0.9958530098246756,ACF,ACF+SVC,0.81,0.05126076485253475,0.02063758074268235,0.03811367251245268,,289.0
799,F1 Macro,1.0,ACF,ACF+RF,0.81,0.05126076485253475,0.02063758074268235,0.03811367251245268,,289.0
800,F1 Macro,0.9915784832451499,ACF,ACF+Ridge,0.81,0.05126076485253475,0.02063758074268235,0.03811367251245268,,289.0
801,F1 Macro,0.8468030337757481,KNN,KNN,0.81,0.05126076485253475,0.02063758074268235,0.03811367251245268,8.4,289.0
802,F1 Macro,0.9573585631644649,KNN,KNN+ROs,0.81,0.05126076485253475,0.02063758074268235,0.03811367251245268,140.0,289.0
803,F1 Macro,0.9916644845945709,DBC,DBC,0.81,0.05126076485253475,0.02063758074268235,0.03811367251245268,140.0,289.0
804,F1 Macro,0.9960837388775304,ACF,ACF+SVC,0.81,0.05080014977057597,0.020097605526554346,0.03932004653224022,,307.0
805,F1 Macro,0.9960837388775304,ACF,ACF+RF,0.81,0.05080014977057597,0.020097605526554346,0.03932004653224022,,307.0
806,F1 Macro,0.996120382256454,ACF,ACF+Ridge,0.81,0.05080014977057597,0.020097605526554346,0.03932004653224022,,307.0
807,F1 Macro,0.8060953331491664,KNN,KNN,0.81,0.05080014977057597,0.020097605526554346,0.03932004653224022,11.2,307.0
808,F1 Macro,0.9685185185185184,KNN,KNN+ROs,0.81,0.05080014977057597,0.020097605526554346,0.03932004653224022,175.0,307.0
809,F1 Macro,0.9882512166325913,DBC,DBC,0.81,0.05080014977057597,0.020097605526554346,0.03932004653224022,175.0,307.0
810,F1 Macro,0.9963231244969712,ACF,ACF+SVC,0.81,0.05102963171562571,0.021377224104228487,0.03867374619147987,,326.0
811,F1 Macro,0.9891589438713062,ACF,ACF+RF,0.81,0.05102963171562571,0.021377224104228487,0.03867374619147987,,326.0
812,F1 Macro,0.992613017429194,ACF,ACF+Ridge,0.81,0.05102963171562571,0.021377224104228487,0.03867374619147987,,326.0
813,F1 Macro,0.8280628137664067,KNN,KNN,0.81,0.05102963171562571,0.021377224104228487,0.03867374619147987,9.7,326.0
814,F1 Macro,0.9674768316139186,KNN,KNN+ROs,0.81,0.05102963171562571,0.021377224104228487,0.03867374619147987,160.6,326.0
815,F1 Macro,0.9891589438713062,DBC,DBC,0.81,0.05102963171562571,0.021377224104228487,0.03867374619147987,160.6,326.0
816,F1 Macro,0.993014705882353,ACF,ACF+SVC,0.81,0.05089991001206454,0.01890904163452417,0.039012314865582695,,344.0
817,F1 Macro,0.9965219778962543,ACF,ACF+RF,0.81,0.05089991001206454,0.01890904163452417,0.039012314865582695,,344.0
818,F1 Macro,0.9818722808540242,ACF,ACF+Ridge,0.81,0.05089991001206454,0.01890904163452417,0.039012314865582695,,344.0
819,F1 Macro,0.8671328671328672,KNN,KNN,0.81,0.05089991001206454,0.01890904163452417,0.039012314865582695,14.8,344.0
820,F1 Macro,0.9725135623869802,KNN,KNN+ROs,0.81,0.05089991001206454,0.01890904163452417,0.039012314865582695,166.1,344.0
821,F1 Macro,0.9860294117647058,DBC,DBC,0.81,0.05089991001206454,0.01890904163452417,0.039012314865582695,166.1,344.0
822,F1 Macro,0.9967120297418056,ACF,ACF+SVC,0.81,0.05108183143106512,0.020472045303874614,0.0411514121512858,,363.0
823,F1 Macro,0.9967120297418056,ACF,ACF+RF,0.81,0.05108183143106512,0.020472045303874614,0.0411514121512858,,363.0
824,F1 Macro,0.9930095085744058,ACF,ACF+Ridge,0.81,0.05108183143106512,0.020472045303874614,0.0411514121512858,,363.0
825,F1 Macro,0.8634483540143917,KNN,KNN,0.81,0.05108183143106512,0.020472045303874614,0.0411514121512858,12.6,363.0
826,F1 Macro,0.9736032328624921,KNN,KNN+ROs,0.81,0.05108183143106512,0.020472045303874614,0.0411514121512858,126.0,363.0
827,F1 Macro,0.9967120297418056,DBC,DBC,0.81,0.05108183143106512,0.020472045303874614,0.0411514121512858,126.0,363.0
828,F1 Macro,0.9936828963795256,ACF,ACF+SVC,0.81,0.05117653282126108,0.019095069312590196,0.03968687081156885,,381.0
829,F1 Macro,0.9936828963795256,ACF,ACF+RF,0.81,0.05117653282126108,0.019095069312590196,0.03968687081156885,,381.0
830,F1 Macro,1.0,ACF,ACF+Ridge,0.81,0.05117653282126108,0.019095069312590196,0.03968687081156885,,381.0
831,F1 Macro,0.8406729011231513,KNN,KNN,0.81,0.05117653282126108,0.019095069312590196,0.03968687081156885,10.9,381.0
832,F1 Macro,0.972098152743314,KNN,KNN+ROs,0.81,0.05117653282126108,0.019095069312590196,0.03968687081156885,208.2,381.0
833,F1 Macro,1.0,DBC,DBC,0.81,0.05117653282126108,0.019095069312590196,0.03968687081156885,208.2,381.0
834,F1 Macro,0.9940412186379929,ACF,ACF+SVC,0.81,0.051540577725411055,0.0208013493200091,0.04058137287785414,,400.0
835,F1 Macro,1.0,ACF,ACF+RF,0.81,0.051540577725411055,0.0208013493200091,0.04058137287785414,,400.0
836,F1 Macro,0.9970099088921488,ACF,ACF+Ridge,0.81,0.051540577725411055,0.0208013493200091,0.04058137287785414,,400.0
837,F1 Macro,0.8469164048971045,KNN,KNN,0.81,0.051540577725411055,0.0208013493200091,0.04058137287785414,8.1,400.0
838,F1 Macro,0.9851556701433649,KNN,KNN+ROs,0.81,0.051540577725411055,0.0208013493200091,0.04058137287785414,150.8,400.0
839,F1 Macro,0.9970099088921488,DBC,DBC,0.81,0.051540577725411055,0.0208013493200091,0.04058137287785414,150.8,400.0
840,F1 Macro,0.8835978835978837,ACF,ACF+SVC,0.81,0.05189959827958058,0.022025043046858123,0.03299525702196493,,50.0
841,F1 Macro,0.8768197088465844,ACF,ACF+RF,0.81,0.05189959827958058,0.022025043046858123,0.03299525702196493,,50.0
842,F1 Macro,0.835,ACF,ACF+Ridge,0.81,0.05189959827958058,0.022025043046858123,0.03299525702196493,,50.0
843,F1 Macro,0.6978021978021977,KNN,KNN,0.81,0.05189959827958058,0.022025043046858123,0.03299525702196493,7.6,50.0
844,F1 Macro,0.7256583348537372,KNN,KNN+ROs,0.81,0.05189959827958058,0.022025043046858123,0.03299525702196493,19.7,50.0
