,Dataset,Value,Method,Algorithm,Repetition
1206,Petralia IRS with Covariable,0.9154761904761904,"ACF, with covariable",ACF+SVC,20
1207,Petralia IRS with Covariable,0.8515873015873017,"ACF, with covariable",ACF+RF,20
1208,Petralia IRS with Covariable,0.9182539682539682,"ACF, with covariable",ACF+Ridge,20
1209,Petralia IRS with Covariable,0.7219696969696969,"ACF, with covariable",ACF+SVC,20
1210,Petralia IRS with Covariable,0.721153846153846,"ACF, with covariable",ACF+RF,20
1211,Petralia IRS with Covariable,0.7979166666666666,"ACF, with covariable",ACF+Ridge,20
1212,Petralia IRS with Covariable,0.9092261904761905,"ACF, with covariable",ACF+SVC,20
1213,Petralia IRS with Covariable,0.9444444444444444,"ACF, with covariable",ACF+RF,20
1214,Petralia IRS with Covariable,0.7694444444444444,"ACF, with covariable",ACF+Ridge,20
1215,Petralia IRS with Covariable,0.8803030303030304,"ACF, with covariable",ACF+SVC,20
1216,Petralia IRS with Covariable,0.5842261904761905,"ACF, with covariable",ACF+RF,20
1217,Petralia IRS with Covariable,0.9571428571428571,"ACF, with covariable",ACF+Ridge,20
1218,Petralia IRS with Covariable,0.7245039682539682,"ACF, with covariable",ACF+SVC,20
1219,Petralia IRS with Covariable,0.8553030303030302,"ACF, with covariable",ACF+RF,20
1220,Petralia IRS with Covariable,0.8708333333333333,"ACF, with covariable",ACF+Ridge,20
1221,Petralia IRS with Covariable,0.8541666666666666,"ACF, with covariable",ACF+SVC,20
1222,Petralia IRS with Covariable,0.8589285714285715,"ACF, with covariable",ACF+RF,20
1223,Petralia IRS with Covariable,0.6907196969696969,"ACF, with covariable",ACF+Ridge,20
1224,Petralia IRS with Covariable,0.7339285714285715,"ACF, with covariable",ACF+SVC,20
1225,Petralia IRS with Covariable,0.725,"ACF, with covariable",ACF+RF,20
1226,Petralia IRS with Covariable,0.7303030303030302,"ACF, with covariable",ACF+Ridge,20
1227,Petralia IRS with Covariable,0.7154761904761905,"ACF, with covariable",ACF+SVC,20
1228,Petralia IRS with Covariable,0.6265151515151515,"ACF, with covariable",ACF+RF,20
1229,Petralia IRS with Covariable,0.7791666666666666,"ACF, with covariable",ACF+Ridge,20
1230,Petralia IRS,0.8166666666666667,"ACF, correlation only",ACF+SVC,20
1231,Petralia IRS,0.6520833333333333,"ACF, correlation only",ACF+RF,20
1232,Petralia IRS,0.8208333333333333,"ACF, correlation only",ACF+Ridge,20
1233,Petralia IRS,0.8297619047619047,"ACF, correlation only",ACF+SVC,20
1234,Petralia IRS,0.7625,"ACF, correlation only",ACF+RF,20
1235,Petralia IRS,0.9154761904761904,"ACF, correlation only",ACF+Ridge,20
1236,Petralia IRS,0.8175595238095238,"ACF, correlation only",ACF+SVC,20
1237,Petralia IRS,0.7890873015873017,"ACF, correlation only",ACF+RF,20
1238,Petralia IRS,0.7821428571428571,"ACF, correlation only",ACF+Ridge,20
1239,Petralia IRS,0.7210317460317461,"ACF, correlation only",ACF+SVC,20
1240,Petralia IRS,0.6929924242424242,"ACF, correlation only",ACF+RF,20
1241,Petralia IRS,0.711111111111111,"ACF, correlation only",ACF+Ridge,20
1242,Petralia IRS,0.9707792207792207,"ACF, correlation only",ACF+SVC,20
1243,Petralia IRS,0.9112554112554112,"ACF, correlation only",ACF+RF,20
1244,Petralia IRS,0.8487554112554112,"ACF, correlation only",ACF+Ridge,20
1245,Petralia IRS,0.7594696969696969,"ACF, correlation only",ACF+SVC,20
1246,Petralia IRS,0.7178030303030303,"ACF, correlation only",ACF+RF,20
1247,Petralia IRS,0.8988095238095237,"ACF, correlation only",ACF+Ridge,20
1248,Petralia IRS,0.8624458874458875,"ACF, correlation only",ACF+SVC,20
1249,Petralia IRS,0.8058982683982684,"ACF, correlation only",ACF+RF,20
1250,Petralia IRS,0.7672619047619047,"ACF, correlation only",ACF+Ridge,20
1251,Petralia IRS,0.8604166666666666,"ACF, correlation only",ACF+SVC,20
1252,Petralia IRS,0.7997474747474748,"ACF, correlation only",ACF+RF,20
1253,Petralia IRS,0.7803030303030303,"ACF, correlation only",ACF+Ridge,20
1254,Petralia IRS,0.8486111111111111,"ACF, correlation only",ACF+SVC,20
1255,Petralia IRS,0.7130952380952381,"ACF, correlation only",ACF+RF,20
1256,Petralia IRS,0.8303030303030303,"ACF, correlation only",ACF+Ridge,20
1257,Petralia IRS,0.7,"ACF, correlation only",ACF+SVC,20
1258,Petralia IRS,0.7348484848484849,"ACF, correlation only",ACF+RF,20
1259,Petralia IRS,0.7617424242424242,"ACF, correlation only",ACF+Ridge,20
1260,Petralia IRS with Covariable,0.6416666666666666,"ACF, with covariable",ACF+SVC,21
1261,Petralia IRS with Covariable,0.725,"ACF, with covariable",ACF+RF,21
1262,Petralia IRS with Covariable,0.6892857142857143,"ACF, with covariable",ACF+Ridge,21
1263,Petralia IRS with Covariable,0.8708333333333333,"ACF, with covariable",ACF+SVC,21
1264,Petralia IRS with Covariable,0.8215277777777777,"ACF, with covariable",ACF+RF,21
1265,Petralia IRS with Covariable,0.9131944444444444,"ACF, with covariable",ACF+Ridge,21
1266,Petralia IRS with Covariable,0.8130952380952381,"ACF, with covariable",ACF+SVC,21
1267,Petralia IRS with Covariable,0.8515873015873017,"ACF, with covariable",ACF+RF,21
1268,Petralia IRS with Covariable,0.7821428571428571,"ACF, with covariable",ACF+Ridge,21
1269,Petralia IRS with Covariable,0.7219696969696969,"ACF, with covariable",ACF+SVC,21
1270,Petralia IRS with Covariable,0.6259157509157509,"ACF, with covariable",ACF+RF,21
1271,Petralia IRS with Covariable,0.7979166666666666,"ACF, with covariable",ACF+Ridge,21
1272,Petralia IRS with Covariable,0.9253968253968254,"ACF, with covariable",ACF+SVC,21
1273,Petralia IRS with Covariable,0.8777777777777778,"ACF, with covariable",ACF+RF,21
1274,Petralia IRS with Covariable,0.7694444444444444,"ACF, with covariable",ACF+Ridge,21
1275,Petralia IRS with Covariable,0.9404761904761905,"ACF, with covariable",ACF+SVC,21
1276,Petralia IRS with Covariable,0.9333333333333333,"ACF, with covariable",ACF+RF,21
1277,Petralia IRS with Covariable,0.8361111111111111,"ACF, with covariable",ACF+Ridge,21
1278,Petralia IRS with Covariable,0.8058982683982685,"ACF, with covariable",ACF+SVC,21
1279,Petralia IRS with Covariable,0.7958333333333334,"ACF, with covariable",ACF+RF,21
1280,Petralia IRS with Covariable,0.7916666666666666,"ACF, with covariable",ACF+Ridge,21
1281,Petralia IRS with Covariable,0.7854166666666667,"ACF, with covariable",ACF+SVC,21
1282,Petralia IRS with Covariable,0.8589285714285715,"ACF, with covariable",ACF+RF,21
1283,Petralia IRS with Covariable,0.6907196969696969,"ACF, with covariable",ACF+Ridge,21
1284,Petralia IRS with Covariable,0.8250000000000001,"ACF, with covariable",ACF+SVC,21
1285,Petralia IRS with Covariable,0.694047619047619,"ACF, with covariable",ACF+RF,21
1286,Petralia IRS with Covariable,0.7303030303030302,"ACF, with covariable",ACF+Ridge,21
1287,Petralia IRS with Covariable,0.7592261904761904,"ACF, with covariable",ACF+SVC,21
1288,Petralia IRS with Covariable,0.614423076923077,"ACF, with covariable",ACF+RF,21
1289,Petralia IRS with Covariable,0.7791666666666666,"ACF, with covariable",ACF+Ridge,21
1290,Petralia IRS,0.838095238095238,"ACF, correlation only",ACF+SVC,21
1291,Petralia IRS,0.8166666666666667,"ACF, correlation only",ACF+RF,21
1292,Petralia IRS,0.6863095238095238,"ACF, correlation only",ACF+Ridge,21
1293,Petralia IRS,0.8666666666666667,"ACF, correlation only",ACF+SVC,21
1294,Petralia IRS,0.8946428571428571,"ACF, correlation only",ACF+RF,21
1295,Petralia IRS,0.9154761904761904,"ACF, correlation only",ACF+Ridge,21
1296,Petralia IRS,0.8488095238095238,"ACF, correlation only",ACF+SVC,21
1297,Petralia IRS,0.8488095238095238,"ACF, correlation only",ACF+RF,21
1298,Petralia IRS,0.8258928571428572,"ACF, correlation only",ACF+Ridge,21
1299,Petralia IRS,0.7416666666666667,"ACF, correlation only",ACF+SVC,21
1300,Petralia IRS,0.8849206349206349,"ACF, correlation only",ACF+RF,21
1301,Petralia IRS,0.7166666666666667,"ACF, correlation only",ACF+Ridge,21
1302,Petralia IRS,0.9041125541125541,"ACF, correlation only",ACF+SVC,21
1303,Petralia IRS,0.9707792207792207,"ACF, correlation only",ACF+RF,21
1304,Petralia IRS,0.802922077922078,"ACF, correlation only",ACF+Ridge,21
1305,Petralia IRS,0.821969696969697,"ACF, correlation only",ACF+SVC,21
1306,Petralia IRS,0.5619047619047619,"ACF, correlation only",ACF+RF,21
1307,Petralia IRS,0.8988095238095237,"ACF, correlation only",ACF+Ridge,21
1308,Petralia IRS,0.8267316017316018,"ACF, correlation only",ACF+SVC,21
1309,Petralia IRS,0.6975649350649351,"ACF, correlation only",ACF+RF,21
1310,Petralia IRS,0.853219696969697,"ACF, correlation only",ACF+Ridge,21
1311,Petralia IRS,0.8604166666666666,"ACF, correlation only",ACF+SVC,21
1312,Petralia IRS,0.8944444444444444,"ACF, correlation only",ACF+RF,21
1313,Petralia IRS,0.8803030303030304,"ACF, correlation only",ACF+Ridge,21
1314,Petralia IRS,0.7833333333333333,"ACF, correlation only",ACF+SVC,21
1315,Petralia IRS,0.8208333333333333,"ACF, correlation only",ACF+RF,21
1316,Petralia IRS,0.6808982683982684,"ACF, correlation only",ACF+Ridge,21
1317,Petralia IRS,0.5666666666666667,"ACF, correlation only",ACF+SVC,21
1318,Petralia IRS,0.5931818181818183,"ACF, correlation only",ACF+RF,21
1319,Petralia IRS,0.7791666666666666,"ACF, correlation only",ACF+Ridge,21
1320,Petralia IRS with Covariable,0.7440476190476191,"ACF, with covariable",ACF+SVC,22
1321,Petralia IRS with Covariable,0.7515873015873016,"ACF, with covariable",ACF+RF,22
1322,Petralia IRS with Covariable,0.7837301587301587,"ACF, with covariable",ACF+Ridge,22
1323,Petralia IRS with Covariable,0.9015873015873015,"ACF, with covariable",ACF+SVC,22
1324,Petralia IRS with Covariable,0.75,"ACF, with covariable",ACF+RF,22
1325,Petralia IRS with Covariable,0.9131944444444444,"ACF, with covariable",ACF+Ridge,22
1326,Petralia IRS with Covariable,0.9154761904761904,"ACF, with covariable",ACF+SVC,22
1327,Petralia IRS with Covariable,0.8488095238095238,"ACF, with covariable",ACF+RF,22
1328,Petralia IRS with Covariable,0.7821428571428571,"ACF, with covariable",ACF+Ridge,22
1329,Petralia IRS with Covariable,0.8770833333333333,"ACF, with covariable",ACF+SVC,22
1330,Petralia IRS with Covariable,0.613415750915751,"ACF, with covariable",ACF+RF,22
1331,Petralia IRS with Covariable,0.9323863636363636,"ACF, with covariable",ACF+Ridge,22
1332,Petralia IRS with Covariable,0.9270833333333333,"ACF, with covariable",ACF+SVC,22
1333,Petralia IRS with Covariable,1.0,"ACF, with covariable",ACF+RF,22
1334,Petralia IRS with Covariable,0.825,"ACF, with covariable",ACF+Ridge,22
1335,Petralia IRS with Covariable,0.8849206349206349,"ACF, with covariable",ACF+SVC,22
1336,Petralia IRS with Covariable,0.746969696969697,"ACF, with covariable",ACF+RF,22
1337,Petralia IRS with Covariable,0.9270833333333333,"ACF, with covariable",ACF+Ridge,22
1338,Petralia IRS with Covariable,0.7517857142857143,"ACF, with covariable",ACF+SVC,22
1339,Petralia IRS with Covariable,0.8041666666666667,"ACF, with covariable",ACF+RF,22
1340,Petralia IRS with Covariable,0.8708333333333333,"ACF, with covariable",ACF+Ridge,22
1341,Petralia IRS with Covariable,0.8541666666666666,"ACF, with covariable",ACF+SVC,22
1342,Petralia IRS with Covariable,0.8321428571428571,"ACF, with covariable",ACF+RF,22
1343,Petralia IRS with Covariable,0.729112554112554,"ACF, with covariable",ACF+Ridge,22
1344,Petralia IRS with Covariable,0.7569444444444444,"ACF, with covariable",ACF+SVC,22
1345,Petralia IRS with Covariable,0.7041666666666666,"ACF, with covariable",ACF+RF,22
1346,Petralia IRS with Covariable,0.7303030303030302,"ACF, with covariable",ACF+Ridge,22
1347,Petralia IRS with Covariable,0.6265151515151515,"ACF, with covariable",ACF+SVC,22
1348,Petralia IRS with Covariable,0.6583333333333333,"ACF, with covariable",ACF+RF,22
1349,Petralia IRS with Covariable,0.6708333333333334,"ACF, with covariable",ACF+Ridge,22
1350,Petralia IRS,0.8166666666666667,"ACF, correlation only",ACF+SVC,22
1351,Petralia IRS,0.838095238095238,"ACF, correlation only",ACF+RF,22
1352,Petralia IRS,0.6863095238095238,"ACF, correlation only",ACF+Ridge,22
1353,Petralia IRS,0.8041666666666667,"ACF, correlation only",ACF+SVC,22
1354,Petralia IRS,0.8258928571428572,"ACF, correlation only",ACF+RF,22
1355,Petralia IRS,0.804861111111111,"ACF, correlation only",ACF+Ridge,22
1356,Petralia IRS,0.8175595238095238,"ACF, correlation only",ACF+SVC,22
1357,Petralia IRS,0.7890873015873017,"ACF, correlation only",ACF+RF,22
1358,Petralia IRS,0.95,"ACF, correlation only",ACF+Ridge,22
1359,Petralia IRS,0.8182539682539682,"ACF, correlation only",ACF+SVC,22
1360,Petralia IRS,0.8849206349206349,"ACF, correlation only",ACF+RF,22
1361,Petralia IRS,0.7166666666666667,"ACF, correlation only",ACF+Ridge,22
1362,Petralia IRS,0.9707792207792207,"ACF, correlation only",ACF+SVC,22
1363,Petralia IRS,0.7541125541125542,"ACF, correlation only",ACF+RF,22
1364,Petralia IRS,0.705952380952381,"ACF, correlation only",ACF+Ridge,22
1365,Petralia IRS,0.821969696969697,"ACF, correlation only",ACF+SVC,22
1366,Petralia IRS,0.6154761904761905,"ACF, correlation only",ACF+RF,22
1367,Petralia IRS,0.8392857142857142,"ACF, correlation only",ACF+Ridge,22
1368,Petralia IRS,0.7672979797979798,"ACF, correlation only",ACF+SVC,22
1369,Petralia IRS,0.7158730158730159,"ACF, correlation only",ACF+RF,22
1370,Petralia IRS,0.7672619047619047,"ACF, correlation only",ACF+Ridge,22
1371,Petralia IRS,0.961111111111111,"ACF, correlation only",ACF+SVC,22
1372,Petralia IRS,0.7979166666666666,"ACF, correlation only",ACF+RF,22
1373,Petralia IRS,0.8803030303030304,"ACF, correlation only",ACF+Ridge,22
1374,Petralia IRS,0.8486111111111111,"ACF, correlation only",ACF+SVC,22
1375,Petralia IRS,0.6922619047619047,"ACF, correlation only",ACF+RF,22
1376,Petralia IRS,0.7303030303030302,"ACF, correlation only",ACF+Ridge,22
1377,Petralia IRS,0.614423076923077,"ACF, correlation only",ACF+SVC,22
1378,Petralia IRS,0.7348484848484849,"ACF, correlation only",ACF+RF,22
1379,Petralia IRS,0.7041666666666666,"ACF, correlation only",ACF+Ridge,22
1380,Petralia IRS with Covariable,0.7440476190476191,"ACF, with covariable",ACF+SVC,23
1381,Petralia IRS with Covariable,0.7515873015873016,"ACF, with covariable",ACF+RF,23
1382,Petralia IRS with Covariable,0.6892857142857143,"ACF, with covariable",ACF+Ridge,23
1383,Petralia IRS with Covariable,0.9375,"ACF, with covariable",ACF+SVC,23
1384,Petralia IRS with Covariable,0.859920634920635,"ACF, with covariable",ACF+RF,23
1385,Petralia IRS with Covariable,0.9131944444444444,"ACF, with covariable",ACF+Ridge,23
1386,Petralia IRS with Covariable,0.8130952380952381,"ACF, with covariable",ACF+SVC,23
1387,Petralia IRS with Covariable,0.8833333333333333,"ACF, with covariable",ACF+RF,23
1388,Petralia IRS with Covariable,0.7821428571428571,"ACF, with covariable",ACF+Ridge,23
1389,Petralia IRS with Covariable,0.6958333333333333,"ACF, with covariable",ACF+SVC,23
1390,Petralia IRS with Covariable,0.6128205128205129,"ACF, with covariable",ACF+RF,23
1391,Petralia IRS with Covariable,0.8850649350649351,"ACF, with covariable",ACF+Ridge,23
1392,Petralia IRS with Covariable,0.9253968253968254,"ACF, with covariable",ACF+SVC,23
1393,Petralia IRS with Covariable,0.9444444444444444,"ACF, with covariable",ACF+RF,23
1394,Petralia IRS with Covariable,0.7694444444444444,"ACF, with covariable",ACF+Ridge,23
1395,Petralia IRS with Covariable,0.9404761904761905,"ACF, with covariable",ACF+SVC,23
1396,Petralia IRS with Covariable,0.7820887445887446,"ACF, with covariable",ACF+RF,23
1397,Petralia IRS with Covariable,0.9571428571428571,"ACF, with covariable",ACF+Ridge,23
1398,Petralia IRS with Covariable,0.8666125541125541,"ACF, with covariable",ACF+SVC,23
1399,Petralia IRS with Covariable,0.8041666666666667,"ACF, with covariable",ACF+RF,23
1400,Petralia IRS with Covariable,0.8708333333333333,"ACF, with covariable",ACF+Ridge,23
1401,Petralia IRS with Covariable,0.8630952380952381,"ACF, with covariable",ACF+SVC,23
1402,Petralia IRS with Covariable,0.9020833333333333,"ACF, with covariable",ACF+RF,23
1403,Petralia IRS with Covariable,0.6907196969696969,"ACF, with covariable",ACF+Ridge,23
1404,Petralia IRS with Covariable,0.7339285714285715,"ACF, with covariable",ACF+SVC,23
1405,Petralia IRS with Covariable,0.7761363636363636,"ACF, with covariable",ACF+RF,23
1406,Petralia IRS with Covariable,0.7303030303030302,"ACF, with covariable",ACF+Ridge,23
1407,Petralia IRS with Covariable,0.7446428571428572,"ACF, with covariable",ACF+SVC,23
1408,Petralia IRS with Covariable,0.6208333333333333,"ACF, with covariable",ACF+RF,23
1409,Petralia IRS with Covariable,0.7791666666666666,"ACF, with covariable",ACF+Ridge,23
1410,Petralia IRS,0.8166666666666667,"ACF, correlation only",ACF+SVC,23
1411,Petralia IRS,0.7833333333333333,"ACF, correlation only",ACF+RF,23
1412,Petralia IRS,0.834469696969697,"ACF, correlation only",ACF+Ridge,23
1413,Petralia IRS,0.8964285714285715,"ACF, correlation only",ACF+SVC,23
1414,Petralia IRS,0.8152777777777778,"ACF, correlation only",ACF+RF,23
1415,Petralia IRS,0.9154761904761904,"ACF, correlation only",ACF+Ridge,23
1416,Petralia IRS,0.8175595238095238,"ACF, correlation only",ACF+SVC,23
1417,Petralia IRS,0.7890873015873017,"ACF, correlation only",ACF+RF,23
1418,Petralia IRS,0.9154761904761904,"ACF, correlation only",ACF+Ridge,23
1419,Petralia IRS,0.7210317460317461,"ACF, correlation only",ACF+SVC,23
1420,Petralia IRS,0.8113095238095238,"ACF, correlation only",ACF+RF,23
1421,Petralia IRS,0.7520833333333333,"ACF, correlation only",ACF+Ridge,23
1422,Petralia IRS,0.9707792207792207,"ACF, correlation only",ACF+SVC,23
1423,Petralia IRS,0.7541125541125542,"ACF, correlation only",ACF+RF,23
1424,Petralia IRS,0.7612554112554113,"ACF, correlation only",ACF+Ridge,23
1425,Petralia IRS,0.8113095238095238,"ACF, correlation only",ACF+SVC,23
1426,Petralia IRS,0.7666666666666666,"ACF, correlation only",ACF+RF,23
1427,Petralia IRS,0.8988095238095237,"ACF, correlation only",ACF+Ridge,23
1428,Petralia IRS,0.8740530303030303,"ACF, correlation only",ACF+SVC,23
1429,Petralia IRS,0.8214285714285714,"ACF, correlation only",ACF+RF,23
1430,Petralia IRS,0.7672619047619047,"ACF, correlation only",ACF+Ridge,23
1431,Petralia IRS,0.8604166666666666,"ACF, correlation only",ACF+SVC,23
1432,Petralia IRS,0.7997474747474748,"ACF, correlation only",ACF+RF,23
1433,Petralia IRS,0.8803030303030304,"ACF, correlation only",ACF+Ridge,23
1434,Petralia IRS,0.8,"ACF, correlation only",ACF+SVC,23
1435,Petralia IRS,0.775,"ACF, correlation only",ACF+RF,23
1436,Petralia IRS,0.7303030303030302,"ACF, correlation only",ACF+Ridge,23
1437,Petralia IRS,0.6666666666666666,"ACF, correlation only",ACF+SVC,23
1438,Petralia IRS,0.5583333333333333,"ACF, correlation only",ACF+RF,23
1439,Petralia IRS,0.7617424242424242,"ACF, correlation only",ACF+Ridge,23
1440,Petralia IRS with Covariable,0.6666666666666666,"ACF, with covariable",ACF+SVC,24
1441,Petralia IRS with Covariable,0.7833333333333333,"ACF, with covariable",ACF+RF,24
1442,Petralia IRS with Covariable,0.6892857142857143,"ACF, with covariable",ACF+Ridge,24
1443,Petralia IRS with Covariable,0.8339285714285715,"ACF, with covariable",ACF+SVC,24
1444,Petralia IRS with Covariable,0.8297619047619047,"ACF, with covariable",ACF+RF,24
1445,Petralia IRS with Covariable,0.9015873015873016,"ACF, with covariable",ACF+Ridge,24
1446,Petralia IRS with Covariable,0.9154761904761904,"ACF, with covariable",ACF+SVC,24
1447,Petralia IRS with Covariable,0.8515873015873017,"ACF, with covariable",ACF+RF,24
1448,Petralia IRS with Covariable,0.7821428571428571,"ACF, with covariable",ACF+Ridge,24
1449,Petralia IRS with Covariable,0.6958333333333333,"ACF, with covariable",ACF+SVC,24
1450,Petralia IRS with Covariable,0.9112554112554112,"ACF, with covariable",ACF+RF,24
1451,Petralia IRS with Covariable,0.8297077922077922,"ACF, with covariable",ACF+Ridge,24
1452,Petralia IRS with Covariable,0.9253968253968254,"ACF, with covariable",ACF+SVC,24
1453,Petralia IRS with Covariable,1.0,"ACF, with covariable",ACF+RF,24
1454,Petralia IRS with Covariable,0.8944444444444445,"ACF, with covariable",ACF+Ridge,24
1455,Petralia IRS with Covariable,0.8803030303030304,"ACF, with covariable",ACF+SVC,24
1456,Petralia IRS with Covariable,0.8178030303030303,"ACF, with covariable",ACF+RF,24
1457,Petralia IRS with Covariable,0.9154761904761906,"ACF, with covariable",ACF+Ridge,24
1458,Petralia IRS with Covariable,0.6998376623376623,"ACF, with covariable",ACF+SVC,24
1459,Petralia IRS with Covariable,0.9571428571428571,"ACF, with covariable",ACF+RF,24
1460,Petralia IRS with Covariable,0.8708333333333333,"ACF, with covariable",ACF+Ridge,24
1461,Petralia IRS with Covariable,0.8541666666666666,"ACF, with covariable",ACF+SVC,24
1462,Petralia IRS with Covariable,0.8589285714285715,"ACF, with covariable",ACF+RF,24
1463,Petralia IRS with Covariable,0.7832792207792207,"ACF, with covariable",ACF+Ridge,24
1464,Petralia IRS with Covariable,0.8386363636363636,"ACF, with covariable",ACF+SVC,24
1465,Petralia IRS with Covariable,0.7374999999999999,"ACF, with covariable",ACF+RF,24
1466,Petralia IRS with Covariable,0.7261363636363636,"ACF, with covariable",ACF+Ridge,24
1467,Petralia IRS with Covariable,0.6265151515151515,"ACF, with covariable",ACF+SVC,24
1468,Petralia IRS with Covariable,0.5931818181818183,"ACF, with covariable",ACF+RF,24
1469,Petralia IRS with Covariable,0.6708333333333334,"ACF, with covariable",ACF+Ridge,24
1470,Petralia IRS,0.875,"ACF, correlation only",ACF+SVC,24
1471,Petralia IRS,0.8063492063492064,"ACF, correlation only",ACF+RF,24
1472,Petralia IRS,0.7837301587301587,"ACF, correlation only",ACF+Ridge,24
1473,Petralia IRS,0.8666666666666667,"ACF, correlation only",ACF+SVC,24
1474,Petralia IRS,0.8633928571428571,"ACF, correlation only",ACF+RF,24
1475,Petralia IRS,0.9154761904761904,"ACF, correlation only",ACF+Ridge,24
1476,Petralia IRS,0.8488095238095238,"ACF, correlation only",ACF+SVC,24
1477,Petralia IRS,0.7890873015873017,"ACF, correlation only",ACF+RF,24
1478,Petralia IRS,0.7821428571428571,"ACF, correlation only",ACF+Ridge,24
1479,Petralia IRS,0.8361111111111111,"ACF, correlation only",ACF+SVC,24
1480,Petralia IRS,0.7147186147186146,"ACF, correlation only",ACF+RF,24
1481,Petralia IRS,1.0,"ACF, correlation only",ACF+Ridge,24
1482,Petralia IRS,0.9707792207792207,"ACF, correlation only",ACF+SVC,24
1483,Petralia IRS,0.9404761904761905,"ACF, correlation only",ACF+RF,24
1484,Petralia IRS,0.802922077922078,"ACF, correlation only",ACF+Ridge,24
1485,Petralia IRS,0.7594696969696969,"ACF, correlation only",ACF+SVC,24
1486,Petralia IRS,0.7267316017316017,"ACF, correlation only",ACF+RF,24
1487,Petralia IRS,0.9571428571428571,"ACF, correlation only",ACF+Ridge,24
1488,Petralia IRS,0.8624458874458875,"ACF, correlation only",ACF+SVC,24
1489,Petralia IRS,0.7158730158730159,"ACF, correlation only",ACF+RF,24
1490,Petralia IRS,0.853219696969697,"ACF, correlation only",ACF+Ridge,24
1491,Petralia IRS,0.8604166666666666,"ACF, correlation only",ACF+SVC,24
1492,Petralia IRS,0.7979166666666666,"ACF, correlation only",ACF+RF,24
1493,Petralia IRS,0.6461760461760462,"ACF, correlation only",ACF+Ridge,24
1494,Petralia IRS,0.834469696969697,"ACF, correlation only",ACF+SVC,24
1495,Petralia IRS,0.8083333333333333,"ACF, correlation only",ACF+RF,24
1496,Petralia IRS,0.7303030303030302,"ACF, correlation only",ACF+Ridge,24
1497,Petralia IRS,0.5666666666666667,"ACF, correlation only",ACF+SVC,24
1498,Petralia IRS,0.5916666666666666,"ACF, correlation only",ACF+RF,24
1499,Petralia IRS,0.7791666666666666,"ACF, correlation only",ACF+Ridge,24
1500,Petralia IRS with Covariable,0.7440476190476191,"ACF, with covariable",ACF+SVC,25
1501,Petralia IRS with Covariable,0.7081349206349207,"ACF, with covariable",ACF+RF,25
1502,Petralia IRS with Covariable,0.8154761904761905,"ACF, with covariable",ACF+Ridge,25
1503,Petralia IRS with Covariable,0.9015873015873015,"ACF, with covariable",ACF+SVC,25
1504,Petralia IRS with Covariable,0.8145833333333333,"ACF, with covariable",ACF+RF,25
1505,Petralia IRS with Covariable,0.9131944444444444,"ACF, with covariable",ACF+Ridge,25
1506,Petralia IRS with Covariable,0.91875,"ACF, with covariable",ACF+SVC,25
1507,Petralia IRS with Covariable,0.8488095238095238,"ACF, with covariable",ACF+RF,25
1508,Petralia IRS with Covariable,0.8696428571428572,"ACF, with covariable",ACF+Ridge,25
1509,Petralia IRS with Covariable,0.7219696969696969,"ACF, with covariable",ACF+SVC,25
1510,Petralia IRS with Covariable,0.6259157509157509,"ACF, with covariable",ACF+RF,25
1511,Petralia IRS with Covariable,0.7979166666666666,"ACF, with covariable",ACF+Ridge,25
1512,Petralia IRS with Covariable,0.9611111111111111,"ACF, with covariable",ACF+SVC,25
1513,Petralia IRS with Covariable,1.0,"ACF, with covariable",ACF+RF,25
1514,Petralia IRS with Covariable,0.8777777777777778,"ACF, with covariable",ACF+Ridge,25
1515,Petralia IRS with Covariable,0.821969696969697,"ACF, with covariable",ACF+SVC,25
1516,Petralia IRS with Covariable,0.7803030303030303,"ACF, with covariable",ACF+RF,25
1517,Petralia IRS with Covariable,0.9154761904761906,"ACF, with covariable",ACF+Ridge,25
1518,Petralia IRS with Covariable,0.7833333333333334,"ACF, with covariable",ACF+SVC,25
1519,Petralia IRS with Covariable,0.9571428571428571,"ACF, with covariable",ACF+RF,25
1520,Petralia IRS with Covariable,0.8708333333333333,"ACF, with covariable",ACF+Ridge,25
1521,Petralia IRS with Covariable,0.7058982683982684,"ACF, with covariable",ACF+SVC,25
1522,Petralia IRS with Covariable,0.7964285714285715,"ACF, with covariable",ACF+RF,25
1523,Petralia IRS with Covariable,0.6907196969696969,"ACF, with covariable",ACF+Ridge,25
1524,Petralia IRS with Covariable,0.6964285714285714,"ACF, with covariable",ACF+SVC,25
1525,Petralia IRS with Covariable,0.8208333333333333,"ACF, with covariable",ACF+RF,25
1526,Petralia IRS with Covariable,0.7761363636363636,"ACF, with covariable",ACF+Ridge,25
1527,Petralia IRS with Covariable,0.6583333333333333,"ACF, with covariable",ACF+SVC,25
1528,Petralia IRS with Covariable,0.7265151515151516,"ACF, with covariable",ACF+RF,25
1529,Petralia IRS with Covariable,0.7333333333333334,"ACF, with covariable",ACF+Ridge,25
1530,Petralia IRS,0.8166666666666667,"ACF, correlation only",ACF+SVC,25
1531,Petralia IRS,0.7390873015873016,"ACF, correlation only",ACF+RF,25
1532,Petralia IRS,0.834469696969697,"ACF, correlation only",ACF+Ridge,25
1533,Petralia IRS,0.8297619047619047,"ACF, correlation only",ACF+SVC,25
1534,Petralia IRS,0.8529761904761906,"ACF, correlation only",ACF+RF,25
1535,Petralia IRS,0.9154761904761904,"ACF, correlation only",ACF+Ridge,25
